Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1741.5185546995972
FDW14,OUT017,2058.4028327749943
NCN55,OUT010,760.4116001552943
FDQ58,OUT017,2678.647018046256
FDY38,OUT027,4854.174803091215
FDH56,OUT046,1741.5185546995972
FDL48,OUT018,2200.5494371790905
FDC48,OUT027,3732.6838384437897
FDN33,OUT045,2058.4028327749943
FDA36,OUT017,2678.647018046256
FDT44,OUT017,2058.4028327749943
FDQ56,OUT045,2058.4028327749943
NCC54,OUT019,665.5600388401357
FDU11,OUT049,1741.5185546995972
DRL59,OUT013,2378.4258839367703
FDM24,OUT049,2215.202143413313
FDI57,OUT045,2678.647018046256
DRC12,OUT018,2690.015344454029
NCM42,OUT027,3732.6838384437897
FDA46,OUT010,620.1462288190617
FDA31,OUT013,2905.1529344649775
NCJ31,OUT035,2552.469375751121
FDG52,OUT046,1511.8648745352675
NCL19,OUT019,591.0978155074495
FDS10,OUT035,2680.4360578940546
FDX22,OUT010,760.4116001552943
NCF19,OUT035,1891.3415277651884
NCE06,OUT046,2215.202143413313
DRC27,OUT046,2372.236686476271
FDE21,OUT035,2058.4028327749943
NCR42,OUT019,559.9386934868253
FDX51,OUT018,2690.015344454029
NCR06,OUT018,2200.5494371790905
FDU31,OUT027,4854.174803091215
FDU59,OUT017,2678.647018046256
FDR03,OUT027,4854.174803091215
FDS49,OUT027,3732.6838384437897
FDD48,OUT010,612.7531474763858
NCF18,OUT017,2678.647018046256
NCD43,OUT027,3732.6838384437897
NCD54,OUT018,2690.015344454029
FDY19,OUT010,612.7531474763858
NCY54,OUT017,2678.647018046256
NCL19,OUT018,2690.015344454029
FDP23,OUT010,760.4116001552943
FDC26,OUT013,2507.0468029407252
FDR14,OUT010,605.4702992259897
NCS41,OUT035,2680.4360578940546
FDF41,OUT035,2552.469375751121
FDU34,OUT046,1741.5185546995972
DRH11,OUT046,1511.8648745352675
FDM03,OUT013,2507.0468029407252
FDS31,OUT017,2678.647018046256
FDJ20,OUT017,2058.4028327749943
FDV44,OUT027,4357.564167945137
FDG02,OUT049,2215.202143413313
FDA09,OUT013,2905.1529344649775
FDT04,OUT013,2378.4258839367703
FDL58,OUT019,665.5600388401357
FDE52,OUT045,2058.4028327749943
FDW12,OUT035,2680.4360578940546
FDL51,OUT017,2552.469375751121
NCY42,OUT027,4357.564167945137
FDR07,OUT017,2058.4028327749943
FDN40,OUT045,2678.647018046256
FDB35,OUT027,3732.6838384437897
FDA22,OUT017,2678.647018046256
NCL06,OUT046,2372.236686476271
FDI35,OUT013,2905.1529344649775
NCW42,OUT045,2552.469375751121
NCX06,OUT049,2215.202143413313
FDC37,OUT027,3732.6838384437897
FDZ14,OUT018,2310.4652969675276
DRG49,OUT049,2372.236686476271
NCG06,OUT045,2552.469375751121
DRC36,OUT045,2678.647018046256
FDV21,OUT019,560.9513938017886
FDB53,OUT046,2215.202143413313
DRP47,OUT019,665.5600388401357
FDA14,OUT013,2905.1529344649775
DRC24,OUT035,2680.4360578940546
FDW21,OUT018,2310.4652969675276
NCH29,OUT046,1741.5185546995972
FDU58,OUT013,2905.1529344649775
FDY27,OUT017,2678.647018046256
FDV56,OUT035,2058.4028327749943
FDT59,OUT046,2372.236686476271
FDB23,OUT046,2372.236686476271
FDR49,OUT045,1889.5524879173902
FDB03,OUT010,760.4116001552943
FDN39,OUT045,2678.647018046256
FDX02,OUT027,4854.174803091215
FDQ16,OUT027,3732.6838384437897
FDU35,OUT018,2310.4652969675276
NCT29,OUT013,2507.0468029407252
FDZ27,OUT046,1511.8648745352675
FDN57,OUT017,2678.647018046256
FDA03,OUT018,2690.015344454029
FDZ36,OUT045,2678.647018046256
NCU05,OUT013,2507.0468029407252
FDT39,OUT018,2690.015344454029
FDK60,OUT017,2058.4028327749943
FDZ25,OUT017,2678.647018046256
FDG12,OUT046,1741.5185546995972
DRB01,OUT019,591.0978155074495
NCC43,OUT027,4854.174803091215
FDX13,OUT019,665.5600388401357
FDM22,OUT049,1511.8648745352675
FDJ03,OUT027,3462.574137956091
FDU14,OUT018,2988.3802266488597
FDB33,OUT010,620.1462288190617
FDP27,OUT046,2215.202143413313
FDO38,OUT010,612.7531474763858
FDE28,OUT027,4854.174803091215
FDO27,OUT035,2058.4028327749943
DRL23,OUT027,3732.6838384437897
FDS28,OUT046,1511.8648745352675
FDX24,OUT013,2507.0468029407252
FDZ02,OUT035,2058.4028327749943
FDL46,OUT045,2058.4028327749943
FDS60,OUT027,4357.564167945137
NCO06,OUT017,1889.5524879173902
FDO16,OUT035,2058.4028327749943
FDC60,OUT049,1741.5185546995972
FDA48,OUT018,2988.3802266488597
FDZ36,OUT027,4357.564167945137
FDK27,OUT045,2058.4028327749943
FDW23,OUT018,2200.5494371790905
FDM14,OUT018,2310.4652969675276
FDM14,OUT013,2507.0468029407252
FDW60,OUT018,2690.015344454029
FDE21,OUT013,2507.0468029407252
NCM42,OUT035,2058.4028327749943
FDY59,OUT010,612.7531474763858
DRI49,OUT049,1741.5185546995972
FDT28,OUT019,591.0978155074495
FDQ22,OUT018,2200.5494371790905
FDR60,OUT049,1741.5185546995972
FDC50,OUT019,560.9513938017886
FDV24,OUT013,2905.1529344649775
DRF48,OUT010,620.1462288190617
FDQ47,OUT046,1511.8648745352675
DRN36,OUT049,1741.5185546995972
NCY06,OUT035,2058.4028327749943
FDE52,OUT035,2058.4028327749943
NCB54,OUT045,2058.4028327749943
NCF31,OUT035,2680.4360578940546
FDJ08,OUT027,4357.564167945137
NCC07,OUT017,2058.4028327749943
NCD19,OUT027,3462.574137956091
FDL46,OUT049,1741.5185546995972
FDM20,OUT045,2552.469375751121
NCI06,OUT010,620.1462288190617
DRM11,OUT035,2552.469375751121
NCH07,OUT018,2690.015344454029
FDS23,OUT013,2507.0468029407252
FDO49,OUT018,2200.5494371790905
FDS35,OUT049,1511.8648745352675
DRK39,OUT045,2058.4028327749943
DRI39,OUT049,1511.8648745352675
FDV04,OUT017,2678.647018046256
NCN14,OUT035,2680.4360578940546
FDH08,OUT013,3279.122020033913
FDS20,OUT046,2215.202143413313
FDV40,OUT049,1741.5185546995972
FDZ48,OUT010,612.7531474763858
FDS24,OUT027,3732.6838384437897
FDK44,OUT049,2215.202143413313
FDS48,OUT045,2678.647018046256
FDK26,OUT010,620.1462288190617
FDD23,OUT045,2678.647018046256
NCH54,OUT017,2678.647018046256
NCP14,OUT010,612.7531474763858
FDM60,OUT010,605.4702992259897
FDV24,OUT017,2678.647018046256
FDH08,OUT018,2988.3802266488597
FDS12,OUT027,3732.6838384437897
FDR39,OUT027,4357.564167945137
FDP12,OUT027,3462.574137956091
DRF60,OUT027,4854.174803091215
FDC09,OUT035,2058.4028327749943
FDF50,OUT018,2690.015344454029
FDG28,OUT035,2552.469375751121
NCE19,OUT017,1889.5524879173902
NCM53,OUT010,612.7531474763858
NCN18,OUT049,1741.5185546995972
FDF32,OUT035,2680.4360578940546
FDF11,OUT013,3279.122020033913
DRI59,OUT049,2372.236686476271
NCG54,OUT035,2680.4360578940546
FDM44,OUT046,1741.5185546995972
FDT57,OUT018,2988.3802266488597
FDV24,OUT046,2215.202143413313
FDI50,OUT019,665.5600388401357
FDS09,OUT035,1891.3415277651884
NCC31,OUT027,4357.564167945137
FDQ07,OUT019,665.5600388401357
FDC22,OUT017,2678.647018046256
FDZ56,OUT046,2215.202143413313
FDZ40,OUT019,559.9386934868253
FDS46,OUT027,3732.6838384437897
DRD24,OUT045,2678.647018046256
FDV45,OUT017,2678.647018046256
FDL26,OUT045,2678.647018046256
FDA56,OUT018,2310.4652969675276
FDN27,OUT046,1741.5185546995972
FDM20,OUT049,2372.236686476271
FDO16,OUT017,2058.4028327749943
FDL03,OUT035,2680.4360578940546
FDE58,OUT046,1741.5185546995972
FDI02,OUT027,3732.6838384437897
NCC55,OUT019,559.9386934868253
FDR03,OUT018,2988.3802266488597
FDB14,OUT017,2058.4028327749943
FDR45,OUT013,3279.122020033913
NCN07,OUT017,2058.4028327749943
